0,1,2,3,4
0.008,0.014,0.002,0.976,0.0
0.956,0.004,0.008,0.026,0.006
0.002,0.0,0.0,0.0,0.998
0.0,0.002,0.992,0.002,0.004
0.012,0.006,0.0,0.978,0.004
0.978,0.0,0.0,0.006,0.016
0.018,0.002,0.004,0.008,0.968
0.996,0.0,0.0,0.002,0.002
0.006,0.006,0.008,0.974,0.006
0.998,0.0,0.0,0.0,0.002
0.012,0.004,0.002,0.002,0.98
0.0,0.0,0.996,0.002,0.002
0.982,0.002,0.004,0.01,0.002
0.004,0.0,0.0,0.996,0.0
0.924,0.01,0.016,0.002,0.048
0.006,0.0,0.002,0.002,0.99
0.998,0.0,0.0,0.0,0.002
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.99,0.004,0.006
0.024,0.004,0.008,0.958,0.006
0.002,0.002,0.018,0.004,0.974
0.994,0.0,0.006,0.0,0.0
0.006,0.0,0.02,0.01,0.964
0.962,0.002,0.002,0.02,0.014
0.0,0.0,1.0,0.0,0.0
0.006,0.0,0.002,0.992,0.0
0.98,0.004,0.004,0.008,0.004
0.002,0.0,0.006,0.0,0.992
0.986,0.0,0.008,0.004,0.002
0.002,0.992,0.0,0.006,0.0
0.998,0.0,0.0,0.002,0.0
0.0,0.0,0.002,0.0,0.998
0.0,0.0,0.008,0.992,0.0
0.002,0.97,0.008,0.014,0.006
0.0,0.0,1.0,0.0,0.0
0.06,0.03,0.016,0.848,0.046
0.012,0.002,0.002,0.0,0.984
0.028,0.004,0.004,0.026,0.938
0.004,0.0,0.038,0.958,0.0
0.02,0.068,0.038,0.87,0.004
0.0,0.002,0.998,0.0,0.0
0.0,0.01,0.024,0.002,0.964
0.992,0.0,0.004,0.004,0.0
0.0,0.0,0.0,1.0,0.0
0.006,0.02,0.008,0.958,0.008
0.022,0.004,0.008,0.012,0.954
0.03,0.918,0.006,0.04,0.006
0.002,0.0,0.994,0.004,0.0
0.01,0.986,0.0,0.004,0.0
0.0,0.0,0.998,0.002,0.0
0.01,0.928,0.026,0.02,0.016
0.052,0.786,0.012,0.116,0.034
0.004,0.0,0.0,0.006,0.99
0.048,0.866,0.014,0.054,0.018
0.168,0.036,0.01,0.708,0.078
0.876,0.006,0.004,0.092,0.022
