0,1,2,3,4
0.998,0.0,0.0,0.002,0.0
0.016,0.0,0.0,0.006,0.978
0.0,0.002,0.996,0.002,0.0
0.98,0.002,0.0,0.016,0.002
0.026,0.002,0.018,0.948,0.006
0.982,0.0,0.006,0.012,0.0
0.99,0.002,0.0,0.006,0.002
0.978,0.004,0.0,0.008,0.01
0.0,0.0,1.0,0.0,0.0
0.996,0.0,0.0,0.004,0.0
0.026,0.008,0.002,0.96,0.004
0.012,0.052,0.006,0.924,0.006
0.0,0.996,0.002,0.002,0.0
0.998,0.0,0.002,0.0,0.0
0.25,0.066,0.334,0.29,0.06
0.002,0.982,0.002,0.014,0.0
0.0,0.0,1.0,0.0,0.0
0.012,0.01,0.064,0.912,0.002
0.954,0.0,0.008,0.026,0.012
0.982,0.0,0.002,0.014,0.002
0.0,0.0,0.0,0.002,0.998
0.0,0.0,0.0,0.0,1.0
0.002,0.0,0.002,0.002,0.994
0.998,0.0,0.0,0.0,0.002
0.0,0.0,0.0,0.0,1.0
0.988,0.0,0.004,0.002,0.006
0.004,0.0,0.994,0.0,0.002
0.15,0.062,0.152,0.626,0.01
0.0,0.0,1.0,0.0,0.0
0.0,0.006,0.982,0.01,0.002
0.438,0.058,0.014,0.432,0.058
0.016,0.012,0.012,0.954,0.006
0.01,0.002,0.958,0.018,0.012
1.0,0.0,0.0,0.0,0.0
0.026,0.002,0.0,0.006,0.966
0.086,0.0,0.004,0.004,0.906
0.05,0.01,0.01,0.926,0.004
1.0,0.0,0.0,0.0,0.0
0.042,0.014,0.85,0.088,0.006
0.026,0.004,0.0,0.948,0.022
0.996,0.0,0.002,0.002,0.0
0.0,0.002,0.994,0.0,0.004
0.002,0.0,0.0,0.0,0.998
0.924,0.016,0.006,0.036,0.018
0.994,0.0,0.0,0.002,0.004
0.034,0.02,0.024,0.92,0.002
0.996,0.0,0.0,0.004,0.0
0.0,0.0,1.0,0.0,0.0
0.994,0.002,0.002,0.0,0.002
0.0,0.0,1.0,0.0,0.0
0.018,0.0,0.004,0.974,0.004
0.002,0.002,0.004,0.0,0.992
0.848,0.018,0.016,0.076,0.042
0.01,0.944,0.004,0.012,0.03
0.006,0.97,0.0,0.024,0.0
0.0,0.0,0.988,0.012,0.0
0.006,0.008,0.008,0.006,0.972
0.984,0.0,0.0,0.016,0.0
0.98,0.0,0.004,0.016,0.0
0.988,0.004,0.002,0.006,0.0
0.0,0.0,1.0,0.0,0.0
0.982,0.004,0.006,0.008,0.0
0.002,0.0,0.998,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.972,0.004,0.004,0.008,0.012
