0,1,2,3,4
0.984,0.004,0.002,0.004,0.006
0.066,0.016,0.024,0.032,0.862
0.0,0.0,1.0,0.0,0.0
0.804,0.038,0.026,0.068,0.064
0.042,0.022,0.022,0.906,0.008
0.886,0.008,0.03,0.054,0.022
0.964,0.004,0.008,0.016,0.008
0.87,0.012,0.01,0.078,0.03
0.006,0.004,0.984,0.002,0.004
0.968,0.0,0.006,0.022,0.004
0.066,0.02,0.008,0.884,0.022
0.044,0.072,0.024,0.834,0.026
0.032,0.888,0.012,0.06,0.008
0.962,0.01,0.002,0.018,0.008
0.35,0.056,0.236,0.242,0.116
0.006,0.976,0.004,0.01,0.004
0.002,0.004,0.982,0.008,0.004
0.06,0.016,0.03,0.848,0.046
0.872,0.016,0.024,0.066,0.022
0.976,0.004,0.0,0.012,0.008
0.01,0.004,0.006,0.008,0.972
0.004,0.0,0.0,0.0,0.996
0.016,0.006,0.002,0.008,0.968
0.98,0.0,0.002,0.012,0.006
0.008,0.0,0.0,0.008,0.984
0.972,0.0,0.002,0.01,0.016
0.008,0.002,0.984,0.006,0.0
0.168,0.13,0.086,0.578,0.038
0.0,0.002,0.992,0.004,0.002
0.004,0.006,0.984,0.006,0.0
0.524,0.104,0.04,0.254,0.078
0.03,0.018,0.03,0.904,0.018
0.03,0.01,0.914,0.036,0.01
0.884,0.012,0.014,0.04,0.05
0.088,0.02,0.022,0.026,0.844
0.044,0.008,0.01,0.012,0.926
0.112,0.05,0.044,0.776,0.018
0.982,0.0,0.004,0.01,0.004
0.084,0.024,0.8,0.064,0.028
0.012,0.01,0.002,0.97,0.006
0.978,0.002,0.004,0.008,0.008
0.004,0.002,0.984,0.006,0.004
0.016,0.002,0.004,0.008,0.97
0.818,0.028,0.03,0.096,0.028
0.95,0.008,0.006,0.024,0.012
0.054,0.03,0.028,0.878,0.01
0.972,0.0,0.006,0.014,0.008
0.0,0.0,0.998,0.002,0.0
0.922,0.008,0.01,0.038,0.022
0.002,0.0,0.99,0.004,0.004
0.058,0.022,0.004,0.896,0.02
0.006,0.0,0.004,0.006,0.984
0.758,0.038,0.036,0.094,0.074
0.02,0.926,0.002,0.02,0.032
0.026,0.914,0.014,0.04,0.006
0.004,0.004,0.986,0.004,0.002
0.042,0.012,0.02,0.038,0.888
0.964,0.002,0.002,0.018,0.014
0.97,0.0,0.002,0.012,0.016
0.974,0.01,0.0,0.01,0.006
0.002,0.0,0.994,0.0,0.004
0.93,0.01,0.008,0.024,0.028
0.018,0.002,0.972,0.006,0.002
0.976,0.004,0.006,0.01,0.004
0.926,0.01,0.004,0.038,0.022
0.006,0.0,0.004,0.016,0.974
0.014,0.004,0.974,0.004,0.004
0.738,0.026,0.052,0.164,0.02
0.88,0.02,0.016,0.064,0.02
0.266,0.064,0.056,0.586,0.028
0.99,0.0,0.0,0.008,0.002
0.962,0.008,0.002,0.016,0.012
0.97,0.006,0.002,0.01,0.012
0.004,0.002,0.008,0.008,0.978
0.012,0.968,0.002,0.018,0.0
0.002,0.004,0.98,0.01,0.004
0.052,0.87,0.018,0.05,0.01
0.926,0.018,0.008,0.036,0.012
0.89,0.014,0.016,0.06,0.02
