0,1,2,3,4
0.002,0.004,0.0,0.0,0.994
0.006,0.0,0.0,0.0,0.994
0.082,0.036,0.79,0.086,0.006
0.054,0.0,0.008,0.01,0.928
0.0,0.0,1.0,0.0,0.0
0.002,0.0,0.0,0.0,0.998
0.926,0.006,0.0,0.046,0.022
0.988,0.0,0.002,0.01,0.0
0.986,0.002,0.0,0.008,0.004
0.002,0.0,0.0,0.0,0.998
0.008,0.97,0.006,0.014,0.002
0.83,0.016,0.03,0.044,0.08
0.86,0.014,0.012,0.096,0.018
0.846,0.012,0.044,0.09,0.008
0.984,0.002,0.0,0.012,0.002
0.968,0.0,0.004,0.018,0.01
0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.99,0.004,0.006,0.0
0.03,0.006,0.0,0.954,0.01
0.0,0.0,1.0,0.0,0.0
0.998,0.0,0.002,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.008,0.002,0.0,0.0,0.99
0.002,0.002,0.0,0.014,0.982
0.008,0.954,0.012,0.026,0.0
0.914,0.008,0.028,0.042,0.008
0.01,0.002,0.002,0.986,0.0
0.08,0.022,0.04,0.05,0.808
0.006,0.002,0.002,0.99,0.0
0.0,0.002,0.0,0.998,0.0
0.986,0.002,0.002,0.002,0.008
0.01,0.0,0.0,0.002,0.988
0.0,0.002,0.0,0.992,0.006
0.002,0.0,0.996,0.002,0.0
1.0,0.0,0.0,0.0,0.0
0.006,0.012,0.0,0.98,0.002
0.994,0.0,0.004,0.002,0.0
0.044,0.058,0.138,0.758,0.002
0.0,0.0,1.0,0.0,0.0
0.006,0.002,0.0,0.992,0.0
0.004,0.0,0.0,0.0,0.996
0.998,0.0,0.0,0.002,0.0
0.012,0.0,0.0,0.002,0.986
0.992,0.0,0.0,0.008,0.0
0.002,0.0,0.998,0.0,0.0
0.004,0.004,0.02,0.97,0.002
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0
0.98,0.006,0.004,0.008,0.002
0.008,0.002,0.014,0.97,0.006
0.972,0.002,0.0,0.02,0.006
0.962,0.002,0.014,0.018,0.004
0.01,0.008,0.006,0.024,0.952
0.0,0.0,0.0,0.0,1.0
0.826,0.044,0.018,0.082,0.03
0.992,0.0,0.0,0.006,0.002
0.004,0.002,0.0,0.994,0.0
0.966,0.004,0.006,0.02,0.004
0.004,0.01,0.0,0.984,0.002
0.0,0.002,0.0,0.0,0.998
0.012,0.956,0.008,0.012,0.012
0.008,0.96,0.01,0.02,0.002
0.014,0.926,0.012,0.046,0.002
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.998,0.0,0.002
0.022,0.004,0.006,0.966,0.002
0.996,0.0,0.0,0.004,0.0
0.002,0.0,0.998,0.0,0.0
0.99,0.002,0.002,0.006,0.0
0.01,0.002,0.0,0.988,0.0
0.008,0.006,0.978,0.004,0.004
0.976,0.0,0.016,0.008,0.0
0.992,0.0,0.0,0.0,0.008
0.998,0.0,0.0,0.002,0.0
0.01,0.0,0.0,0.99,0.0
0.01,0.962,0.008,0.016,0.004
0.01,0.962,0.014,0.014,0.0
0.004,0.006,0.002,0.988,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.012,0.984,0.004,0.0
0.002,0.966,0.004,0.024,0.004
0.986,0.002,0.002,0.01,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.002,0.998
0.0,0.0,0.0,0.0,1.0
0.996,0.0,0.0,0.004,0.0
0.108,0.01,0.006,0.83,0.046
0.082,0.0,0.008,0.892,0.018
0.996,0.0,0.0,0.004,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.002,0.998,0.0,0.0
0.968,0.0,0.008,0.022,0.002
0.936,0.016,0.002,0.026,0.02
0.024,0.018,0.926,0.022,0.01
1.0,0.0,0.0,0.0,0.0
0.006,0.022,0.968,0.004,0.0
0.0,0.0,0.0,0.0,1.0
0.138,0.024,0.01,0.802,0.026
0.0,0.002,0.0,0.998,0.0
0.006,0.97,0.01,0.012,0.002
0.006,0.964,0.01,0.016,0.004
0.006,0.004,0.004,0.98,0.006
0.84,0.014,0.044,0.066,0.036
0.972,0.0,0.0,0.026,0.002
0.006,0.014,0.964,0.016,0.0
0.982,0.002,0.01,0.006,0.0
0.966,0.008,0.002,0.022,0.002
0.002,0.0,0.0,0.998,0.0
0.986,0.0,0.008,0.006,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.992,0.0,0.0,0.006,0.002
0.994,0.0,0.004,0.002,0.0
0.002,0.002,0.0,0.996,0.0
0.0,0.002,0.996,0.002,0.0
0.002,0.002,0.0,0.002,0.994
0.004,0.002,0.994,0.0,0.0
0.002,0.0,0.002,0.996,0.0
0.002,0.0,0.0,0.996,0.002
0.008,0.002,0.002,0.006,0.982
0.0,0.942,0.006,0.05,0.002
0.0,0.0,1.0,0.0,0.0
0.536,0.032,0.104,0.264,0.064
0.002,0.01,0.008,0.978,0.002
0.002,0.0,0.002,0.006,0.99
0.0,0.938,0.052,0.01,0.0
0.966,0.0,0.0,0.028,0.006
0.068,0.002,0.004,0.016,0.91
0.976,0.0,0.0,0.012,0.012
0.0,0.0,0.0,0.0,1.0
0.006,0.0,0.0,0.0,0.994
0.042,0.028,0.898,0.026,0.006
0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.002,0.006,0.986,0.004,0.002
1.0,0.0,0.0,0.0,0.0
0.946,0.006,0.006,0.036,0.006
1.0,0.0,0.0,0.0,0.0
0.954,0.006,0.014,0.012,0.014
0.004,0.032,0.954,0.01,0.0
0.99,0.0,0.004,0.006,0.0
0.998,0.0,0.0,0.0,0.002
0.006,0.984,0.002,0.008,0.0
0.008,0.002,0.0,0.988,0.002
0.016,0.922,0.016,0.028,0.018
0.976,0.0,0.012,0.01,0.002
0.838,0.036,0.02,0.088,0.018
0.0,0.0,1.0,0.0,0.0
0.994,0.0,0.004,0.002,0.0
0.952,0.002,0.008,0.008,0.03
0.002,0.012,0.984,0.0,0.002
0.0,0.0,1.0,0.0,0.0
0.006,0.002,0.0,0.002,0.99
0.924,0.006,0.01,0.06,0.0
0.974,0.006,0.002,0.014,0.004
0.992,0.002,0.002,0.004,0.0
