fold_1,fold_2,fold_3,fold_4,fold_5
ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320
ABP1|26,ABP1|26,ABP1|26,ABP1|26,ABP1|26
ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272
ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013
ACPP|55,ACPP|55,ACPP|55,ACPP|55,ACPP|55
ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876
ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158
ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370
AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551
AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465
AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902
AMN|81693,AMN|81693,AMN|81693,AMN|81693,AMN|81693
ANKRD30A|91074,ANKRD30A|91074,ANKRD30A|91074,ANKRD30A|91074,ANKRD30A|91074
ANKS4B|257629,ANKS4B|257629,ANKS4B|257629,ANKS4B|257629,ANKS4B|257629
ATP10B|23120,ATP10B|23120,ATP10B|23120,ATP10B|23120,ATP10B|23120
BBOX1|8424,BBOX1|8424,BBOX1|8424,BBOX1|8424,BBOX1|8424
BHMT|635,BHMT|635,BHMT|635,BHMT|635,BHMT|635
BMPR1B|658,BMPR1B|658,BMPR1B|658,BMPR1B|658,BMPR1B|658
C14orf105|55195,C14orf105|55195,C14orf105|55195,C14orf105|55195,C14orf105|55195
C19orf77|284422,C19orf77|284422,C19orf77|284422,C19orf77|284422,C19orf77|284422
C1orf64|149563,C1orf64|149563,C1orf64|149563,C1orf64|149563,C1orf64|149563
C20orf114|92747,C20orf114|92747,C20orf114|92747,C20orf114|92747,C20orf114|92747
C4BPA|722,C4BPA|722,C4BPA|722,C4BPA|722,C4BPA|722
C6orf223|221416,C6orf223|221416,C6orf223|221416,C6orf223|221416,C6orf223|221416
CA9|768,CA9|768,CA9|768,CA9|768,CA9|768
CACNG4|27092,CACNG4|27092,CACNG4|27092,CACNG4|27092,CACNG4|27092
CALML5|51806,CALML5|51806,CALML5|51806,CALML5|51806,CALML5|51806
CAPN8|388743,CAPN8|388743,CAPN8|388743,CDH16|1014,CAPN8|388743
CDH16|1014,CDH16|1014,CDH16|1014,CDH17|1015,CDH16|1014
CDH17|1015,CDH17|1015,CDH17|1015,CDHR5|53841,CDH17|1015
CDHR5|53841,CDHR5|53841,CDHR2|54825,CDX2|1045,CDHR5|53841
CDX2|1045,CDX2|1045,CDHR5|53841,CEACAM5|1048,CDX2|1045
CEACAM5|1048,CEACAM5|1048,CDX2|1045,CEACAM6|4680,CEACAM5|1048
CEACAM6|4680,CEACAM6|4680,CEACAM5|1048,CFTR|1080,CEACAM6|4680
CFTR|1080,CFTR|1080,CEACAM6|4680,CHRM1|1128,CFTR|1080
CHRM1|1128,CHRM1|1128,CFTR|1080,CHRNA2|1135,CHRM1|1128
CHRNA2|1135,CHRNA2|1135,CHRM1|1128,CLDN2|9075,CHRNA2|1135
CLDN2|9075,CLDN2|9075,CHRNA2|1135,CLDN8|9073,CLDN2|9075
CLEC3A|10143,CLEC3A|10143,CLDN2|9075,CLEC3A|10143,CLEC3A|10143
