fold_1,fold_2,fold_3,fold_4,fold_5
553137,553137,553137,553137,553137
652919,652919,652919,652919,652919
729884,729884,729884,729884,729884
A1BG|1,A1BG|1,A1BG|1,A1BG|1,A1BG|1
A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974
A2BP1|54715,A2BP1|54715,A2BP1|54715,A2BP1|54715,A2BP1|54715
A2ML1|144568,A2ML1|144568,A2ML1|144568,A2ML1|144568,A2ML1|144568
AACSL|729522,AACSL|729522,AACSL|729522,AACSL|729522,AACSL|729522
AADAC|13,AADAC|13,AADAC|13,AADAC|13,AADAC|13
AADAT|51166,AADAT|51166,AADAT|51166,AADAT|51166,AADAT|51166
ABAT|18,ABAT|18,ABAT|18,ABAT|18,ABAT|18
ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA10|10349
ABCA13|154664,ABCA13|154664,ABCA13|154664,ABCA13|154664,ABCA12|26154
ABCA17P|650655,ABCA17P|650655,ABCA17P|650655,ABCA17P|650655,ABCA13|154664
ABCA3|21,ABCA3|21,ABCA3|21,ABCA3|21,ABCA17P|650655
ABCA4|24,ABCA4|24,ABCA4|24,ABCA4|24,ABCA3|21
ABCA6|23460,ABCA6|23460,ABCA6|23460,ABCA6|23460,ABCA4|24
ABCA8|10351,ABCA8|10351,ABCA8|10351,ABCA8|10351,ABCA6|23460
ABCA9|10350,ABCA9|10350,ABCA9|10350,ABCA9|10350,ABCA8|10351
ABCB1|5243,ABCB1|5243,ABCB1|5243,ABCB1|5243,ABCA9|10350
ABCB5|340273,ABCB5|340273,ABCB4|5244,ABCB4|5244,ABCB1|5243
ABCC11|85320,ABCC11|85320,ABCB5|340273,ABCB5|340273,ABCB4|5244
ABCC12|94160,ABCC12|94160,ABCC11|85320,ABCC11|85320,ABCB5|340273
ABCC13|150000,ABCC13|150000,ABCC12|94160,ABCC12|94160,ABCC11|85320
ABCC2|1244,ABCC2|1244,ABCC13|150000,ABCC13|150000,ABCC12|94160
ABCC3|8714,ABCC3|8714,ABCC2|1244,ABCC2|1244,ABCC13|150000
ABCC4|10257,ABCC4|10257,ABCC3|8714,ABCC3|8714,ABCC2|1244
ABCC6P1|653190,ABCC6P1|653190,ABCC4|10257,ABCC4|10257,ABCC3|8714
ABCC6P2|730013,ABCC6P2|730013,ABCC6P1|653190,ABCC6P1|653190,ABCC4|10257
ABCC6|368,ABCC6|368,ABCC6P2|730013,ABCC6P2|730013,ABCC6P1|653190
ABCC8|6833,ABCC8|6833,ABCC6|368,ABCC6|368,ABCC6P2|730013
ABCC9|10060,ABCC9|10060,ABCC8|6833,ABCC8|6833,ABCC6|368
ABCD2|225,ABCD2|225,ABCC9|10060,ABCC9|10060,ABCC8|6833
ABCG2|9429,ABCG2|9429,ABCD2|225,ABCG2|9429,ABCC9|10060
ABHD12B|145447,ABHD12B|145447,ABCG2|9429,ABHD12B|145447,ABCD2|225
ABHD1|84696,ABHD1|84696,ABHD12B|145447,ABHD1|84696,ABCG2|9429
ABI3BP|25890,ABI3BP|25890,ABHD1|84696,ABI3BP|25890,ABHD12B|145447
ABLIM3|22885,ABLIM3|22885,ABI3BP|25890,ABLIM3|22885,ABHD1|84696
ABO|28,ABO|28,ABLIM3|22885,ABO|28,ABI3BP|25890
ABP1|26,ABP1|26,ABO|28,ABP1|26,ABLIM3|22885
ACAD11|84129,ACAD11|84129,ABP1|26,ACAD11|84129,ABO|28
ACADL|33,ACADL|33,ACAD11|84129,ACADL|33,ABP1|26
ACAN|176,ACAN|176,ACADL|33,ACAN|176,ACAD11|84129
ACAP1|9744,ACAP1|9744,ACAN|176,ACAP1|9744,ACADL|33
ACBD7|414149,ACBD7|414149,ACAP1|9744,ACBD7|414149,ACAN|176
ACCN1|40,ACCN1|40,ACBD7|414149,ACCN1|40,ACAP1|9744
ACCN2|41,ACCN2|41,ACCN1|40,ACCN2|41,ACBD7|414149
ACCN3|9311,ACCN3|9311,ACCN2|41,ACCN3|9311,ACCN1|40
ACE2|59272,ACE2|59272,ACCN3|9311,ACE2|59272,ACCN2|41
ACHE|43,ACHE|43,ACE2|59272,ACHE|43,ACCN3|9311
ACMSD|130013,ACMSD|130013,ACHE|43,ACMSD|130013,ACE2|59272
ACOT11|26027,ACOT11|26027,ACMSD|130013,ACOT11|26027,ACHE|43
ACOX2|8309,ACOX2|8309,ACOT11|26027,ACOX2|8309,ACMSD|130013
ACOXL|55289,ACOXL|55289,ACOX2|8309,ACOXL|55289,ACOT11|26027
ACPP|55,ACPP|55,ACOXL|55289,ACPP|55,ACOX2|8309
ACSL5|51703,ACSL5|51703,ACPP|55,ACSL5|51703,ACOXL|55289
ACSL6|23305,ACSL6|23305,ACSL5|51703,ACSL6|23305,ACPP|55
ACSM1|116285,ACSM1|116285,ACSL6|23305,ACSM1|116285,ACSL5|51703
ACSM2A|123876,ACSM2A|123876,ACSM1|116285,ACSM2A|123876,ACSL6|23305
ACSM2B|348158,ACSM2B|348158,ACSM2A|123876,ACSM2B|348158,ACSM1|116285
ACSM3|6296,ACSM3|6296,ACSM2B|348158,ACSM3|6296,ACSM2A|123876
ACSM5|54988,ACSM5|54988,ACSM3|6296,ACSM5|54988,ACSM2B|348158
ACSS3|79611,ACSS3|79611,ACSM5|54988,ACSS3|79611,ACSM3|6296
ACTA1|58,ACTA1|58,ACSS3|79611,ACTA1|58,ACSM5|54988
ACTC1|70,ACTC1|70,ACTA1|58,ACTC1|70,ACSS3|79611
ACTG2|72,ACTG2|72,ACTC1|70,ACTG2|72,ACTA1|58
ACTL8|81569,ACTL8|81569,ACTG2|72,ACTL8|81569,ACTC1|70
ACTN2|88,ACTN2|88,ACTL8|81569,ACTN2|88,ACTG2|72
ACVR1C|130399,ACVR1C|130399,ACTN2|88,ACVR1C|130399,ACTL8|81569
ACY3|91703,ACY3|91703,ACVR1C|130399,ACY3|91703,ACTN2|88
ADAM12|8038,ADAM12|8038,ACY3|91703,ADAM12|8038,ACVR1C|130399
ADAM22|53616,ADAM22|53616,ADAM12|8038,ADAM22|53616,ACY3|91703
ADAM23|8745,ADAM23|8745,ADAM22|53616,ADAM23|8745,ADAM11|4185
ADAM28|10863,ADAM28|10863,ADAM23|8745,ADAM28|10863,ADAM12|8038
ADAM2|2515,ADAM2|2515,ADAM28|10863,ADAM2|2515,ADAM22|53616
ADAM32|203102,ADAM32|203102,ADAM2|2515,ADAM32|203102,ADAM23|8745
ADAM33|80332,ADAM33|80332,ADAM32|203102,ADAM33|80332,ADAM28|10863
ADAM6|8755,ADAM6|8755,ADAM33|80332,ADAM6|8755,ADAM2|2515
ADAMDEC1|27299,ADAM7|8756,ADAM6|8755,ADAM8|101,ADAM32|203102
ADAMTS12|81792,ADAMDEC1|27299,ADAM7|8756,ADAMDEC1|27299,ADAM33|80332
ADAMTS14|140766,ADAMTS12|81792,ADAM8|101,ADAMTS12|81792,ADAM6|8755
ADAMTS15|170689,ADAMTS14|140766,ADAMDEC1|27299,ADAMTS14|140766,ADAM7|8756
ADAMTS16|170690,ADAMTS15|170689,ADAMTS12|81792,ADAMTS15|170689,ADAM8|101
ADAMTS18|170692,ADAMTS16|170690,ADAMTS14|140766,ADAMTS16|170690,ADAMDEC1|27299
ADAMTS19|171019,ADAMTS18|170692,ADAMTS15|170689,ADAMTS18|170692,ADAMTS12|81792
ADAMTS1|9510,ADAMTS19|171019,ADAMTS16|170690,ADAMTS19|171019,ADAMTS14|140766
ADAMTS2|9509,ADAMTS1|9510,ADAMTS18|170692,ADAMTS1|9510,ADAMTS15|170689
ADAMTS3|9508,ADAMTS2|9509,ADAMTS19|171019,ADAMTS2|9509,ADAMTS16|170690
ADAMTS4|9507,ADAMTS4|9507,ADAMTS1|9510,ADAMTS3|9508,ADAMTS18|170692
ADAMTS5|11096,ADAMTS5|11096,ADAMTS2|9509,ADAMTS4|9507,ADAMTS19|171019
ADAMTS8|11095,ADAMTS8|11095,ADAMTS3|9508,ADAMTS5|11096,ADAMTS1|9510
ADAMTSL1|92949,ADAMTSL1|92949,ADAMTS4|9507,ADAMTS8|11095,ADAMTS2|9509
ADAMTSL3|57188,ADAMTSL3|57188,ADAMTS5|11096,ADAMTSL1|92949,ADAMTS4|9507
ADAMTSL5|339366,ADAMTSL5|339366,ADAMTS8|11095,ADAMTSL3|57188,ADAMTS5|11096
ADAP1|11033,ADAP1|11033,ADAMTSL1|92949,ADAMTSL5|339366,ADAMTS8|11095
ADARB2|105,ADARB2|105,ADAMTSL3|57188,ADAP1|11033,ADAMTSL1|92949
ADCY1|107,ADCY1|107,ADAMTSL5|339366,ADARB2|105,ADAMTSL3|57188
ADCY2|108,ADCY2|108,ADAP1|11033,ADCY1|107,ADAMTSL5|339366
ADCY5|111,ADCY5|111,ADARB2|105,ADCY2|108,ADAP1|11033
ADCY8|114,ADCY8|114,ADCY1|107,ADCY5|111,ADARB2|105
ADCYAP1|116,ADCYAP1|116,ADCY2|108,ADCY8|114,ADCY1|107
ADD2|119,ADD2|119,ADCY5|111,ADCYAP1|116,ADCY2|108
ADH1A|124,ADH1A|124,ADCY8|114,ADD2|119,ADCY5|111
ADH1B|125,ADH1B|125,ADCYAP1|116,ADH1A|124,ADCY8|114
ADH1C|126,ADH1C|126,ADD2|119,ADH1B|125,ADCYAP1|116
ADH6|130,ADH6|130,ADH1A|124,ADH1C|126,ADD2|119
ADH7|131,ADHFE1|137872,ADH1B|125,ADH4|127,ADH1A|124
ADHFE1|137872,ADIPOQ|9370,ADH1C|126,ADH6|130,ADH1B|125
ADIPOQ|9370,ADM|133,ADH4|127,ADHFE1|137872,ADH1C|126
ADM|133,ADORA1|134,ADH6|130,ADIPOQ|9370,ADH4|127
ADORA1|134,ADORA2B|136,ADH7|131,ADM|133,ADH6|130
ADORA2B|136,ADORA3|140,ADHFE1|137872,ADORA1|134,ADH7|131
ADORA3|140,ADPRHL1|113622,ADIPOQ|9370,ADORA2B|136,ADHFE1|137872
ADPRHL1|113622,ADRA1A|148,ADM|133,ADORA3|140,ADIPOQ|9370
ADRA1A|148,ADRA1B|147,ADORA1|134,ADPRHL1|113622,ADM|133
ADRA1B|147,ADRA1D|146,ADORA2B|136,ADRA1A|148,ADORA1|134
ADRA1D|146,ADRA2A|150,ADORA3|140,ADRA1B|147,ADORA2B|136
ADRA2A|150,ADRA2B|151,ADPRHL1|113622,ADRA1D|146,ADORA3|140
ADRA2B|151,ADRA2C|152,ADRA1A|148,ADRA2A|150,ADPRHL1|113622
ADRA2C|152,ADRB1|153,ADRA1B|147,ADRA2B|151,ADRA1A|148
ADRB1|153,ADRB2|154,ADRA1D|146,ADRA2C|152,ADRA1B|147
ADRB2|154,ADSSL1|122622,ADRA2A|150,ADRB1|153,ADRA1D|146
ADSSL1|122622,AFF2|2334,ADRA2B|151,ADRB2|154,ADRA2A|150
AFF2|2334,AFF3|3899,ADRA2C|152,ADSSL1|122622,ADRA2B|151
AFF3|3899,AFP|174,ADRB1|153,AEBP1|165,ADRA2C|152
AFP|174,AG2|387763,ADRB2|154,AFF2|2334,ADRB1|153
AG2|387763,AGAP11|119385,ADSSL1|122622,AFF3|3899,ADRB2|154
AGAP11|119385,AGAP7|653268,AFF2|2334,AFP|174,ADSSL1|122622
AGAP7|653268,AGER|177,AFF3|3899,AG2|387763,AFF2|2334
AGER|177,AGMAT|79814,AFP|174,AGAP11|119385,AFF3|3899
AGMAT|79814,AGPAT9|84803,AGAP11|119385,AGAP7|653268,AFP|174
AGPAT9|84803,AGR2|10551,AGAP7|653268,AGER|177,AG2|387763
AGR2|10551,AGR3|155465,AGER|177,AGMAT|79814,AGAP11|119385
AGR3|155465,AGTR1|185,AGMAT|79814,AGPAT9|84803,AGAP7|653268
AGTR1|185,AGTR2|186,AGPAT9|84803,AGR2|10551,AGER|177
AGTR2|186,AGT|183,AGR2|10551,AGR3|155465,AGMAT|79814
AGT|183,AGXT2L1|64850,AGR3|155465,AGTR1|185,AGPAT9|84803
AGXT2L1|64850,AGXT2|64902,AGTR1|185,AGTR2|186,AGR2|10551
AGXT2|64902,AGXT|189,AGTR2|186,AGT|183,AGR3|155465
AGXT|189,AHNAK2|113146,AGT|183,AGXT2L1|64850,AGTR1|185
AHNAK2|113146,AICDA|57379,AGXT2L1|64850,AGXT2|64902,AGTR2|186
AICDA|57379,AIF1L|83543,AGXT2|64902,AGXT|189,AGT|183
AIF1L|83543,AIFM3|150209,AGXT|189,AHNAK2|113146,AGXT2L1|64850
AIFM3|150209,AIM1L|55057,AHNAK2|113146,AICDA|57379,AGXT2|64902
AIM1L|55057,AIM2|9447,AICDA|57379,AIF1L|83543,AGXT|189
AIM2|9447,AJAP1|55966,AIF1L|83543,AIFM3|150209,AHNAK2|113146
AJAP1|55966,AK3L1|205,AIFM3|150209,AIM1L|55057,AICDA|57379
AK3L1|205,AK5|26289,AIM1L|55057,AIM2|9447,AIF1L|83543
AK5|26289,AK7|122481,AIM2|9447,AJAP1|55966,AIFM3|150209
AK7|122481,AKAP12|9590,AJAP1|55966,AK3L1|205,AIM1L|55057
AKAP12|9590,AKAP2|11217,AK3L1|205,AK5|26289,AIM2|9447
AKAP2|11217,AKR1B10|57016,AK5|26289,AK7|122481,AJAP1|55966
AKR1B10|57016,AKR1B15|441282,AK7|122481,AKAP12|9590,AK3L1|205
AKR1B15|441282,AKR1B1|231,AKAP12|9590,AKAP2|11217,AK5|26289
AKR1B1|231,AKR1C1|1645,AKR1B10|57016,AKR1B10|57016,AK7|122481
AKR1C1|1645,AKR1C2|1646,AKR1B15|441282,AKR1B15|441282,AKAP12|9590
AKR1C2|1646,AKR1C3|8644,AKR1B1|231,AKR1B1|231,AKR1B10|57016
AKR1C3|8644,AKR1C4|1109,AKR1C1|1645,AKR1C1|1645,AKR1B15|441282
AKR1C4|1109,AKR1E2|83592,AKR1C2|1646,AKR1C2|1646,AKR1B1|231
AKR1E2|83592,AKR7A3|22977,AKR1C3|8644,AKR1C3|8644,AKR1C1|1645
AKR7A3|22977,AKR7L|246181,AKR1C4|1109,AKR1C4|1109,AKR1C2|1646
AKR7L|246181,ALB|213,AKR1E2|83592,AKR1E2|83592,AKR1C3|8644
AKT3|10000,ALDH1A1|216,AKR7A3|22977,AKR7A3|22977,AKR1C4|1109
ALAS2|212,ALDH1A2|8854,AKR7L|246181,AKR7L|246181,AKR1E2|83592
ALB|213,ALDH1A3|220,ALB|213,AKT3|10000,AKR7A3|22977
ALDH1A1|216,ALDH1L1|10840,ALDH1A1|216,ALB|213,AKR7L|246181
ALDH1A2|8854,ALDH1L2|160428,ALDH1A2|8854,ALDH1A1|216,ALB|213
ALDH1A3|220,ALDH3A1|218,ALDH1A3|220,ALDH1A2|8854,ALDH1A1|216
ALDH1L1|10840,ALDH3B1|221,ALDH1L1|10840,ALDH1A3|220,ALDH1A2|8854
ALDH1L2|160428,ALDH3B2|222,ALDH1L2|160428,ALDH1L1|10840,ALDH1A3|220
ALDH3A1|218,ALDH8A1|64577,ALDH3A1|218,ALDH1L2|160428,ALDH1L1|10840
ALDH3B1|221,ALDOB|229,ALDH3B1|221,ALDH3A1|218,ALDH1L2|160428
ALDH3B2|222,ALDOC|230,ALDH3B2|222,ALDH3B1|221,ALDH3A1|218
ALDH8A1|64577,ALG1L|200810,ALDH8A1|64577,ALDH3B2|222,ALDH3B1|221
ALDOB|229,ALOX12B|242,ALDOB|229,ALDH8A1|64577,ALDH3B2|222
ALDOC|230,ALOX12P2|245,ALDOC|230,ALDOB|229,ALDH8A1|64577
ALG1L|200810,ALOX15B|247,ALG1L|200810,ALDOC|230,ALDOB|229
ALOX12B|242,ALOX15|246,ALOX12B|242,ALG1L|200810,ALDOC|230
ALOX12P2|245,ALOXE3|59344,ALOX12P2|245,ALOX12B|242,ALG1L|200810
ALOX15B|247,ALPI|248,ALOX15B|247,ALOX12P2|245,ALOX12B|242
ALOX15|246,ALPK2|115701,ALOX15|246,ALOX15B|247,ALOX12P2|245
ALOXE3|59344,ALPK3|57538,ALOXE3|59344,ALOX15|246,ALOX15B|247
ALPI|248,ALPL|249,ALPI|248,ALOXE3|59344,ALOX15|246
ALPK2|115701,ALPPL2|251,ALPK2|115701,ALPI|248,ALOXE3|59344
ALPK3|57538,ALPP|250,ALPK3|57538,ALPK2|115701,ALPI|248
ALPL|249,ALS2CR11|151254,ALPL|249,ALPK3|57538,ALPK2|115701
ALPPL2|251,ALX1|8092,ALPPL2|251,ALPL|249,ALPK3|57538
ALPP|250,AMACR|23600,ALPP|250,ALPPL2|251,ALPL|249
ALS2CL|259173,AMBP|259,ALS2CL|259173,ALPP|250,ALPPL2|251
ALS2CR11|151254,AMDHD1|144193,ALS2CR11|151254,ALS2CL|259173,ALPP|250
AMACR|23600,AMH|268,AMACR|23600,ALS2CR11|151254,ALS2CL|259173
AMBP|259,AMICA1|120425,AMBP|259,AMACR|23600,ALS2CR11|151254
AMDHD1|144193,AMIGO2|347902,AMDHD1|144193,AMBP|259,AMACR|23600
AMH|268,AMN|81693,AMH|268,AMDHD1|144193,AMBP|259
AMICA1|120425,AMPD1|270,AMICA1|120425,AMH|268,AMDHD1|144193
AMIGO2|347902,AMPH|273,AMIGO2|347902,AMICA1|120425,AMH|268
AMN|81693,AMTN|401138,AMN|81693,AMIGO2|347902,AMICA1|120425
AMPD1|270,AMT|275,AMPD1|270,AMN|81693,AMIGO2|347902
AMPH|273,AMY1A|276,AMPH|273,AMPD1|270,AMN|81693
AMT|275,AMY2A|279,AMT|275,AMPH|273,AMPD1|270
AMY1A|276,AMZ1|155185,AMY1A|276,AMTN|401138,AMPH|273
AMY2A|279,ANGPT1|284,AMY2A|279,AMT|275,AMTN|401138
AMZ1|155185,ANGPT2|285,AMZ1|155185,AMY1A|276,AMT|275
ANGPT1|284,ANGPTL1|9068,ANGPT1|284,AMZ1|155185,AMY1A|276
ANGPT2|285,ANGPTL3|27329,ANGPT2|285,ANGPT1|284,AMY2A|279
ANGPTL1|9068,ANGPTL4|51129,ANGPTL1|9068,ANGPT2|285,AMZ1|155185
ANGPTL3|27329,ANGPTL7|10218,ANGPTL3|27329,ANGPTL1|9068,ANGPT1|284
ANGPTL4|51129,ANK1|286,ANGPTL4|51129,ANGPTL3|27329,ANGPT2|285
ANGPTL7|10218,ANK2|287,ANGPTL7|10218,ANGPTL4|51129,ANGPTL1|9068
ANK1|286,ANKFN1|162282,ANK1|286,ANGPTL7|10218,ANGPTL3|27329
ANK2|287,ANKRD1|27063,ANK2|287,ANK1|286,ANGPTL4|51129
ANKFN1|162282,ANKRD22|118932,ANKFN1|162282,ANK2|287,ANGPTL7|10218
ANKRD1|27063,ANKRD24|170961,ANKRD1|27063,ANKFN1|162282,ANK1|286
ANKRD22|118932,ANKRD29|147463,ANKRD22|118932,ANKRD1|27063,ANK2|287
ANKRD24|170961,ANKRD2|26287,ANKRD24|170961,ANKRD22|118932,ANKFN1|162282
ANKRD29|147463,ANKRD30A|91074,ANKRD29|147463,ANKRD24|170961,ANKRD1|27063
ANKRD2|26287,ANKRD30B|374860,ANKRD2|26287,ANKRD29|147463,ANKRD22|118932
ANKRD30A|91074,ANKRD34B|340120,ANKRD30A|91074,ANKRD2|26287,ANKRD24|170961
ANKRD30B|374860,ANKRD35|148741,ANKRD30B|374860,ANKRD30A|91074,ANKRD29|147463
ANKRD34B|340120,ANKRD43|134548,ANKRD34B|340120,ANKRD30B|374860,ANKRD2|26287
ANKRD35|148741,ANKRD45|339416,ANKRD35|148741,ANKRD34B|340120,ANKRD30A|91074
ANKRD43|134548,ANKS1B|56899,ANKRD43|134548,ANKRD35|148741,ANKRD30B|374860
ANKRD45|339416,ANKS4B|257629,ANKRD45|339416,ANKRD43|134548,ANKRD34B|340120
ANKS1B|56899,ANLN|54443,ANKS1B|56899,ANKRD45|339416,ANKRD35|148741
ANKS4B|257629,ANO1|55107,ANKS4B|257629,ANKS1B|56899,ANKRD43|134548
ANLN|54443,ANO2|57101,ANLN|54443,ANKS4B|257629,ANKRD45|339416
ANO1|55107,ANO3|63982,ANO1|55107,ANLN|54443,ANKS1B|56899
ANO2|57101,ANO4|121601,ANO2|57101,ANO1|55107,ANKS4B|257629
ANO3|63982,ANO5|203859,ANO3|63982,ANO2|57101,ANLN|54443
ANO4|121601,ANO7|50636,ANO4|121601,ANO3|63982,ANO1|55107
ANO5|203859,ANO9|338440,ANO5|203859,ANO4|121601,ANO2|57101
ANO7|50636,ANPEP|290,ANO7|50636,ANO5|203859,ANO3|63982
ANO9|338440,ANXA10|11199,ANO9|338440,ANO7|50636,ANO4|121601
ANPEP|290,ANXA13|312,ANPEP|290,ANO9|338440,ANO5|203859
ANXA10|11199,ANXA3|306,ANXA10|11199,ANPEP|290,ANO7|50636
ANXA13|312,ANXA8L2|244,ANXA13|312,ANXA10|11199,ANO9|338440
ANXA3|306,ANXA8|653145,ANXA3|306,ANXA13|312,ANPEP|290
ANXA8L2|244,ANXA9|8416,ANXA8L2|244,ANXA3|306,ANXA10|11199
ANXA8|653145,AOAH|313,ANXA8|653145,ANXA8L2|244,ANXA13|312
ANXA9|8416,AOX1|316,ANXA9|8416,ANXA8|653145,ANXA3|306
AOAH|313,AP1M2|10053,AOAH|313,ANXA9|8416,ANXA8L2|244
AOX1|316,AP3B2|8120,AOX1|316,AOAH|313,ANXA8|653145
AP1M2|10053,APBA2|321,AP1M2|10053,AOX1|316,ANXA9|8416
AP3B2|8120,APBB1IP|54518,AP3B2|8120,AP1M2|10053,AOAH|313
APBA2|321,APCDD1L|164284,APBA2|321,AP3B2|8120,AOX1|316
APBB1IP|54518,APCDD1|147495,APBB1IP|54518,APBA2|321,AP1M2|10053
APCDD1L|164284,APLNR|187,APCDD1L|164284,APBB1IP|54518,AP3B2|8120
APCDD1|147495,APLN|8862,APCDD1|147495,APCDD1L|164284,APBA2|321
APLNR|187,APLP1|333,APLNR|187,APCDD1|147495,APBB1IP|54518
APLN|8862,APOA1|335,APLN|8862,APLNR|187,APCDD1L|164284
APLP1|333,APOBEC1|339,APLP1|333,APLN|8862,APCDD1|147495
APOA1|335,APOBEC3A|200315,APOA1|335,APLP1|333,APLNR|187
APOBEC1|339,APOBEC3B|9582,APOBEC1|339,APOA1|335,APLN|8862
APOBEC3A|200315,APOBEC3H|164668,APOBEC3A|200315,APOBEC1|339,APLP1|333
APOBEC3B|9582,APOBEC4|403314,APOBEC3B|9582,APOBEC3A|200315,APOA1|335
APOBEC3H|164668,APOB|338,APOBEC3H|164668,APOBEC3B|9582,APOBEC1|339
APOBEC4|403314,APOC1|341,APOBEC4|403314,APOB|338,APOBEC3A|200315
APOB|338,APOC2|344,APOB|338,APOC1|341,APOBEC3B|9582
APOC1|341,APOD|347,APOC1|341,APOC2|344,APOBEC3H|164668
APOC2|344,APOE|348,APOC2|344,APOD|347,APOBEC4|403314
APOD|347,APOF|319,APOD|347,APOE|348,APOB|338
APOE|348,APOH|350,APOE|348,APOF|319,APOC1|341
APOF|319,APOLD1|81575,APOF|319,APOH|350,APOC2|344
